id,state,district,city,road_name,road_segment,latitude,longitude,year,month,day,hour,road_category,cause,vehicle_type,road_user_type,weather,road_condition,lighting_condition,traffic_level,accidents,fatalities,injuries
ACC-10468,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97693,76.31464,2021,3,7,8,Urban Arterial,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Rain,Under Construction,Daylight,High,1,1,0
ACC-10469,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97081,76.31601,2022,11,28,23,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Low,1,0,3
ACC-10470,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.9739,76.32257,2021,7,27,5,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Low,1,0,0
ACC-10471,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96837,76.31963,2023,6,27,18,Urban Arterial,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,Medium,1,0,1
ACC-10472,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97011,76.32165,2024,9,12,4,Urban Arterial,Dangerous Junction Geometry,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,0,3
ACC-10473,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97011,76.3232,2023,1,21,12,Urban Arterial,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,0,3
ACC-10474,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96906,76.32395,2021,9,28,19,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,2,2
ACC-10475,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97106,76.3249,2022,8,21,22,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Under Construction,Unlit / Pitch Black,Congested,1,0,1
ACC-10476,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97456,76.31314,2021,3,23,1,Urban Arterial,Dangerous Junction Geometry,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Congested,1,0,2
ACC-10477,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97658,76.32059,2024,11,5,7,Urban Arterial,Dangerous Junction Geometry,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Medium,1,0,2
ACC-10478,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97709,76.31338,2022,10,22,9,Urban Arterial,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,0,2
ACC-10479,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97552,76.3129,2024,6,6,18,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,High,1,0,0
ACC-10480,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96789,76.31345,2024,10,14,2,Urban Arterial,Adverse Weather / Fog,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Dry / Smooth,Unlit / Pitch Black,Congested,1,0,1
ACC-10481,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96664,76.31484,2023,5,24,2,Urban Arterial,Overspeeding,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,1
ACC-10482,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97529,76.32161,2023,4,20,7,Urban Arterial,Dangerous Junction Geometry,Pedestrian,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Congested,1,1,2
ACC-10483,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97978,76.31977,2024,12,20,1,Urban Arterial,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Fog/Mist,Under Construction,Unlit / Pitch Black,Low,1,0,3
ACC-10484,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97919,76.32425,2021,1,9,18,Urban Arterial,Dangerous Junction Geometry,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Medium,1,0,1
ACC-10485,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97766,76.32217,2022,2,11,9,Urban Arterial,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Low,1,1,2
ACC-10486,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97795,76.32072,2024,5,9,8,Urban Arterial,Dangerous Junction Geometry,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,0,0
ACC-10487,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97862,76.31812,2024,1,7,7,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,Low,1,1,0
ACC-10488,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.9763,76.32336,2024,6,23,19,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Streetlights Operational,High,1,1,2
ACC-10489,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96472,76.3211,2022,10,1,21,Urban Arterial,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Congested,1,0,2
ACC-10490,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97982,76.3207,2021,7,12,1,Urban Arterial,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Under Construction,Poor / Intermittent,Low,1,0,0
ACC-10491,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96543,76.32543,2024,6,24,17,Urban Arterial,Potholes / Road Surface Defect,Car,Motorized Passenger,Clear,Damaged / Potholes,Daylight,Low,1,0,0
ACC-10492,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97465,76.32547,2024,2,13,7,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Medium,1,0,1
ACC-10493,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.97192,76.31921,2022,2,10,18,Urban Arterial,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Unlit / Pitch Black,Medium,1,0,2
ACC-10494,Kerala,Ernakulam,Kochi,Kochi Bypass NH-66,Edapally Toll Junction to Palarivattom,9.96789,76.32118,2024,2,25,9,Urban Arterial,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,High,1,1,1
ACC-10495,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16531,72.85438,2022,8,17,20,Urban Arterial,Overspeeding,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Congested,1,3,2
ACC-10496,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16455,72.85448,2024,5,19,1,Urban Arterial,Overspeeding,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Under Construction,Poor / Intermittent,Congested,1,0,1
ACC-10497,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.1699,72.85768,2021,9,1,22,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Streetlights Operational,High,1,2,1
ACC-10498,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16813,72.86147,2024,10,26,2,Urban Arterial,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Dry / Smooth,Poor / Intermittent,High,1,1,0
ACC-10499,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16075,72.86593,2024,5,20,12,Urban Arterial,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Under Construction,Daylight,High,1,1,0
ACC-10500,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16725,72.85226,2021,4,16,22,Urban Arterial,Dangerous Junction Geometry,Car,Motorized Passenger,Clear,Damaged / Potholes,Streetlights Operational,Low,1,0,0
ACC-10501,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16584,72.85204,2022,12,23,19,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Medium,1,2,1
ACC-10502,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16972,72.85925,2024,7,28,21,Urban Arterial,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Poor / Intermittent,Congested,1,1,0
ACC-10503,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17212,72.85791,2023,11,14,4,Urban Arterial,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Fog/Mist,Damaged / Potholes,Streetlights Operational,Low,1,1,0
ACC-10504,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17127,72.86215,2024,4,17,22,Urban Arterial,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Poor / Intermittent,Congested,1,0,2
ACC-10505,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16716,72.8663,2024,3,20,23,Urban Arterial,Overspeeding,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Medium,1,0,0
ACC-10506,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16232,72.85403,2023,4,7,0,Urban Arterial,Poor Lighting,Car,Motorized Passenger,Clear,Damaged / Potholes,Poor / Intermittent,High,1,0,1
ACC-10507,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17017,72.85207,2022,8,9,15,Urban Arterial,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10508,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16629,72.86205,2021,8,26,1,Urban Arterial,Overspeeding,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Dry / Smooth,Streetlights Operational,High,1,1,1
ACC-10509,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16443,72.86335,2024,9,16,4,Urban Arterial,Dangerous Junction Geometry,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Medium,1,1,2
ACC-10510,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16415,72.86323,2023,5,17,8,Urban Arterial,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Under Construction,Daylight,Medium,1,1,1
ACC-10511,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16161,72.85581,2024,7,15,11,Urban Arterial,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,0,1
ACC-10512,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16601,72.86363,2024,3,14,0,Urban Arterial,Dangerous Junction Geometry,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Under Construction,Poor / Intermittent,Low,1,0,1
ACC-10513,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16185,72.859,2022,12,13,7,Urban Arterial,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,0,2
ACC-10514,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16095,72.86315,2024,12,24,5,Urban Arterial,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Low,1,0,0
ACC-10515,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16862,72.85238,2023,4,27,14,Urban Arterial,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,High,1,0,1
ACC-10516,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16966,72.85264,2021,8,10,0,Urban Arterial,Potholes / Road Surface Defect,Car,Motorized Passenger,Clear,Damaged / Potholes,Streetlights Operational,Low,1,1,2
ACC-10517,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16181,72.8514,2024,9,24,9,Urban Arterial,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10518,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17644,72.86142,2022,8,7,9,Urban Arterial,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,Low,1,0,1
ACC-10519,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16102,72.85291,2024,12,14,5,Urban Arterial,Dangerous Junction Geometry,Car,Motorized Passenger,Fog/Mist,Damaged / Potholes,Streetlights Operational,High,1,0,1
ACC-10520,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16827,72.86306,2023,2,20,4,Urban Arterial,Overspeeding,Car,Motorized Passenger,Clear,Dry / Smooth,Streetlights Operational,High,1,3,1
ACC-10521,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16718,72.85957,2022,10,14,8,Urban Arterial,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,High,1,1,2
ACC-10522,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17215,72.85183,2024,6,26,23,Urban Arterial,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Congested,1,0,0
ACC-10523,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16965,72.86314,2024,7,8,8,Urban Arterial,Overspeeding,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,0,2
ACC-10524,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17103,72.85891,2023,9,21,20,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Streetlights Operational,Congested,1,0,0
ACC-10525,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17544,72.85584,2021,5,26,23,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Congested,1,0,1
ACC-10526,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16507,72.85332,2022,7,1,8,Urban Arterial,Potholes / Road Surface Defect,Car,Motorized Passenger,Clear,Damaged / Potholes,Daylight,High,1,0,1
ACC-10527,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16562,72.85701,2021,3,10,13,Urban Arterial,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,1,1
ACC-10528,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16666,72.85224,2023,5,13,17,Urban Arterial,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,0,2
ACC-10529,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16212,72.86261,2021,6,15,1,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,Low,1,0,1
ACC-10530,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17043,72.86085,2022,5,19,1,Urban Arterial,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Unlit / Pitch Black,Congested,1,2,3
ACC-10531,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.1639,72.86385,2022,1,2,10,Urban Arterial,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,0,2
ACC-10532,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17648,72.86445,2023,1,6,12,Urban Arterial,Overspeeding,Car,Motorized Passenger,Rain,Dry / Smooth,Daylight,High,1,0,2
ACC-10533,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.16387,72.86574,2022,10,17,8,Urban Arterial,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,1,1
ACC-10534,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.1727,72.85901,2023,1,23,0,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Fog/Mist,Damaged / Potholes,Streetlights Operational,Medium,1,2,2
ACC-10535,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17012,72.85659,2021,9,1,16,Urban Arterial,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Low,1,0,1
ACC-10536,Maharashtra,Mumbai Suburban,Mumbai,Western Express Highway (WEH),Goregaon Aarey Flyover to Malad Subway,19.17185,72.85346,2021,2,15,7,Urban Arterial,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,High,1,0,2
ACC-10537,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62013,77.3803,2023,12,8,19,Expressway,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Unlit / Pitch Black,Congested,1,1,1
ACC-10538,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63292,77.38804,2022,2,19,1,Expressway,Overspeeding,Car,Motorized Passenger,Clear,Damaged / Potholes,Streetlights Operational,Medium,1,0,0
ACC-10539,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62178,77.38808,2023,11,18,3,Expressway,Pedestrian Crossing Hazard,Heavy Truck,Commercial Goods,Fog/Mist,Dry / Smooth,Streetlights Operational,Low,1,0,4
ACC-10540,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63032,77.39304,2024,8,12,0,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Poor / Intermittent,High,1,1,2
ACC-10541,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62431,77.37758,2022,12,14,17,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Low,1,1,0
ACC-10542,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62731,77.38943,2023,5,8,7,Expressway,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10543,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.61903,77.37809,2024,10,4,0,Expressway,Wrong-side Driving,Car,Motorized Passenger,Clear,Damaged / Potholes,Unlit / Pitch Black,Congested,1,1,1
ACC-10544,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62732,77.37882,2021,5,28,1,Expressway,Pedestrian Crossing Hazard,Two-Wheeler,Vulnerable Road User (VRU),Rain,Dry / Smooth,Streetlights Operational,Congested,1,0,1
ACC-10545,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63187,77.37922,2021,8,17,7,Expressway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,0,2
ACC-10546,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62783,77.38292,2023,6,14,21,Expressway,Pedestrian Crossing Hazard,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Low,1,0,1
ACC-10547,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62635,77.37807,2022,3,16,9,Expressway,Adverse Weather / Fog,Car,Motorized Passenger,Clear,Dry / Smooth,Daylight,High,1,0,2
ACC-10548,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62665,77.39261,2023,4,7,7,Expressway,Wrong-side Driving,Car,Motorized Passenger,Rain,Damaged / Potholes,Daylight,Congested,1,0,1
ACC-10549,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63264,77.3825,2023,7,11,19,Expressway,Wrong-side Driving,Car,Motorized Passenger,Rain,Damaged / Potholes,Unlit / Pitch Black,Medium,1,0,2
ACC-10550,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.632,77.38296,2024,4,13,0,Expressway,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Unlit / Pitch Black,Low,1,0,1
ACC-10551,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63089,77.39177,2021,4,7,7,Expressway,Adverse Weather / Fog,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,Medium,1,0,0
ACC-10552,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63303,77.39316,2021,11,5,1,Expressway,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Low,1,0,3
ACC-10553,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62131,77.37794,2024,12,3,2,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,0,4
ACC-10554,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63157,77.38055,2022,9,10,8,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,0,3
ACC-10555,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62513,77.39249,2021,8,26,4,Expressway,Overspeeding,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Poor / Intermittent,Congested,1,1,1
ACC-10556,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.61992,77.39068,2024,5,19,21,Expressway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Clear,Under Construction,Unlit / Pitch Black,Congested,1,1,1
ACC-10557,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62422,77.38468,2023,9,3,1,Expressway,Adverse Weather / Fog,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,High,1,0,1
ACC-10558,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.63182,77.38191,2024,6,26,8,Expressway,Pedestrian Crossing Hazard,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,0,0
ACC-10559,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62932,77.3895,2021,5,8,1,Expressway,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,1
ACC-10560,Delhi,East Delhi,Delhi,Delhi-Meerut Expressway (NE-3),Ghazipur Border to UP Gate Overpass,28.62389,77.38648,2023,4,23,2,Expressway,Adverse Weather / Fog,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,0,1
